seed,R,C,M,epsilon
85987.0,8.0,10.0,4.0,0.0003594956428459
85987.0,32.0,10.0,4.0,0.0007876299795206
85987.0,128.0,10.0,4.0,0.0003176431785159
85987.0,512.0,10.0,4.0,0.0009321747974191
85987.0,2048.0,10.0,4.0,0.0009096754170228
85987.0,8192.0,10.0,4.0,0.0009179870770672
85987.0,32768.0,10.0,4.0,0.0002326878720492
53492.0,2.0,10.0,4.0,0.0003269707678048
53492.0,8.0,10.0,4.0,0.0007936637937815
53492.0,32.0,10.0,4.0,0.0003167286226718
53492.0,128.0,10.0,4.0,0.0005701899164135
53492.0,512.0,10.0,4.0,0.0005849802484192
53492.0,2048.0,10.0,4.0,0.0002374079153915
53492.0,8192.0,10.0,4.0,0.0003084919646709
53492.0,32768.0,10.0,4.0,0.0006153375582502
50778.0,2.0,10.0,4.0,1.423830269769644
50778.0,8.0,10.0,4.0,0.0010133408996714
50778.0,32.0,10.0,4.0,0.0005956685752834
50778.0,128.0,10.0,4.0,0.0008107465512458
50778.0,512.0,10.0,4.0,0.0007165193807068
50778.0,2048.0,10.0,4.0,0.000788169487072
50778.0,8192.0,10.0,4.0,0.0007633475902915
50778.0,32768.0,10.0,4.0,0.0006414556283312
48598.0,2.0,10.0,4.0,0.0685210188221765
48598.0,8.0,10.0,4.0,0.0683134367538552
48598.0,32.0,10.0,4.0,0.068690279832477
48598.0,128.0,10.0,4.0,0.0682084928434123
48598.0,512.0,10.0,4.0,0.029368472678644
48598.0,2048.0,10.0,4.0,0.0054747702571482
48598.0,8192.0,10.0,4.0,0.0033620034605335
48598.0,32768.0,10.0,4.0,0.003197375197381
61723.0,2.0,10.0,4.0,0.1101476874550457
61723.0,8.0,10.0,4.0,0.0625293926585637
61723.0,32.0,10.0,4.0,0.097761937632067
61723.0,128.0,10.0,4.0,0.0907051966522454
61723.0,512.0,10.0,4.0,0.0188578474238723
61723.0,2048.0,10.0,4.0,0.0135925234853804
61723.0,8192.0,10.0,4.0,0.0080658741532735
61723.0,32768.0,10.0,4.0,0.0013591008853637
97134.0,2.0,10.0,4.0,0.0001479738875284
97134.0,8.0,10.0,4.0,0.0005313012498439
97134.0,32.0,10.0,4.0,0.0002254361132886
97134.0,128.0,10.0,4.0,5.4345987998694056e-05
97134.0,512.0,10.0,4.0,0.0001936700853646
97134.0,2048.0,10.0,4.0,0.0001937273654941
97134.0,8192.0,10.0,4.0,0.0005543120412824
97134.0,32768.0,10.0,4.0,0.0004827992773085
54509.0,2.0,10.0,4.0,0.0128149742327206
54509.0,8.0,10.0,4.0,0.0130624089773473
54509.0,32.0,10.0,4.0,0.0131708207396166
54509.0,128.0,10.0,4.0,0.0129512103697118
54509.0,512.0,10.0,4.0,0.0129813473933829
54509.0,2048.0,10.0,4.0,0.0141164101596913
54509.0,8192.0,10.0,4.0,0.0284476971404685
54509.0,32768.0,10.0,4.0,0.0120051432192451
34753.0,2.0,10.0,6.0,0.000734392173479
34753.0,8.0,10.0,6.0,0.0004352133384081
34753.0,32.0,10.0,6.0,0.2228263590489624
34753.0,128.0,10.0,6.0,0.024086284134915
34753.0,512.0,10.0,6.0,0.0003785913319106
34753.0,2048.0,10.0,6.0,0.0005102929371737
34753.0,8192.0,10.0,6.0,0.0006106105998978
34753.0,32768.0,10.0,6.0,0.0006573503462135
932.0,2.0,10.0,6.0,1.0004545957438566
932.0,8.0,10.0,6.0,0.9342474054611998
932.0,32.0,10.0,6.0,0.3302735026246051
932.0,128.0,10.0,6.0,0.24098390008746
932.0,512.0,10.0,6.0,0.0888292124290943
932.0,2048.0,10.0,6.0,0.0682472269684693
932.0,8192.0,10.0,6.0,0.001017944668697
932.0,32768.0,10.0,6.0,0.0017902346046876
61325.0,2.0,10.0,6.0,0.2815447348512783
61325.0,8.0,10.0,6.0,0.411575222108413
61325.0,32.0,10.0,6.0,0.2742677855407169
61325.0,128.0,10.0,6.0,0.1957310411302132
61325.0,512.0,10.0,6.0,0.2204503277822174
61325.0,2048.0,10.0,6.0,0.0881804646564649
61325.0,8192.0,10.0,6.0,0.0083814860259137
61325.0,32768.0,10.0,6.0,0.0234202739397044
85987.0,2.0,10.0,6.0,0.3782173640492883
85987.0,8.0,10.0,6.0,0.1618949756988361
85987.0,32.0,10.0,6.0,0.3781909809332915
85987.0,128.0,10.0,6.0,0.1429784604910782
85987.0,512.0,10.0,6.0,0.1358725338516666
85987.0,2048.0,10.0,6.0,0.0793359502127881
85987.0,8192.0,10.0,6.0,0.0503699996648414
85987.0,32768.0,10.0,6.0,0.0060105087221036
53492.0,2.0,10.0,6.0,0.1489215652656211
