seed,R,C,M,train acc,test acc,epsilon,evaluations
69797.0,4096.0,10.0,100.0,0.993,,0.0135467211799138,69883.0
51766.0,1.0,10.0,100.0,0.982,,0.9994953248997748,85487.0
51766.0,4.0,10.0,100.0,0.991,,0.3717258140957034,77852.0
51766.0,8.0,10.0,100.0,0.991,,0.1773068065512705,75430.0
51766.0,64.0,10.0,100.0,0.991,,0.0980969593021318,67322.0
51766.0,256.0,10.0,100.0,0.99,,0.0332448812877422,69362.0
51766.0,512.0,10.0,100.0,0.991,,0.0192998272789207,69535.0
51766.0,1024.0,10.0,100.0,0.991,,0.0193520301876318,70237.0
51766.0,2048.0,10.0,100.0,0.991,,0.0159186439613696,70190.0
51766.0,4096.0,10.0,100.0,0.991,,0.0056308981163435,70112.0
61891.0,1.0,10.0,100.0,0.986,,0.9505838756270742,86948.0
61891.0,4.0,10.0,100.0,0.99,,0.3076968564249983,79692.0
61891.0,8.0,10.0,100.0,0.992,,0.1571141907637605,74217.0
61891.0,64.0,10.0,100.0,0.992,,0.1131517849884184,67417.0
61891.0,256.0,10.0,100.0,0.992,,0.0260118036327838,70654.0
61891.0,512.0,10.0,100.0,0.992,,0.0131003551837198,70709.0
61891.0,1024.0,10.0,100.0,0.992,,0.0141300291426708,70691.0
61891.0,2048.0,10.0,100.0,0.992,,0.0216776445826094,71439.0
61891.0,4096.0,10.0,100.0,0.992,,0.0103193734386929,71502.0
51418.0,1.0,10.0,100.0,0.982,,0.8775277892815734,84598.0
51418.0,4.0,10.0,100.0,0.991,,0.3686508757425464,80994.0
51418.0,8.0,10.0,100.0,0.992,,0.1578377318995393,74383.0
51418.0,64.0,10.0,100.0,0.992,,0.0973035026331147,68325.0
51418.0,256.0,10.0,100.0,0.992,,0.0208847465927658,68418.0
51418.0,512.0,10.0,100.0,0.992,,0.0202888499881225,68971.0
51418.0,1024.0,10.0,100.0,0.992,,0.0102963137122437,69551.0
51418.0,2048.0,10.0,100.0,0.992,,0.0190552507104158,70228.0
51418.0,4096.0,10.0,100.0,0.992,,0.0,69107.0
82546.0,1.0,10.0,100.0,0.983,,1.0951973341830472,84977.0
82546.0,4.0,10.0,100.0,0.992,,0.3249983730084546,76787.0
82546.0,8.0,10.0,100.0,0.992,,0.1433366077749919,74413.0
82546.0,64.0,10.0,100.0,0.993,,0.0919981100446989,69324.0
82546.0,256.0,10.0,100.0,0.993,,0.0234718526101185,68704.0
82546.0,512.0,10.0,100.0,0.993,,0.0166544579496169,69258.0
82546.0,1024.0,10.0,100.0,0.993,,0.0050101085945644,70612.0
82546.0,2048.0,10.0,100.0,0.993,,0.01835438732037,70113.0
82546.0,4096.0,10.0,100.0,0.993,,0.00816012064225,69798.0
14916.0,1.0,10.0,100.0,0.984,,0.974386253189651,85244.0
14916.0,4.0,10.0,100.0,0.992,,0.3623920041811121,79183.0
14916.0,8.0,10.0,100.0,0.992,,0.1517732864534934,76338.0
14916.0,64.0,10.0,100.0,0.992,,0.0876037699547041,70606.0
14916.0,256.0,10.0,100.0,0.992,,0.0165228767914174,72952.0
14916.0,512.0,10.0,100.0,0.992,,0.0102806821259987,72936.0
14916.0,1024.0,10.0,100.0,0.992,,0.0110648465427325,72906.0
14916.0,2048.0,10.0,100.0,0.992,,0.0184488447135158,73165.0
14916.0,4096.0,10.0,100.0,0.992,,0.0088261265444198,72885.0
50451.0,1.0,10.0,100.0,0.987,,0.9023512797705496,86559.0
50451.0,4.0,10.0,100.0,0.99,,0.3364138610654988,80811.0
50451.0,8.0,10.0,100.0,0.992,,0.1503501179475282,75535.0
50451.0,64.0,10.0,100.0,0.992,,0.1255296791555101,68930.0
50451.0,256.0,10.0,100.0,0.992,,0.030237841730876,69847.0
50451.0,512.0,10.0,100.0,0.992,,0.0128384545255583,71478.0
50451.0,1024.0,10.0,100.0,0.992,,0.0129491031189493,71500.0
50451.0,2048.0,10.0,100.0,0.992,,0.0118280915402158,72709.0
50451.0,4096.0,10.0,100.0,0.992,,0.0065024307385999,71594.0
13776.0,1.0,10.0,100.0,0.981,,1.0022322327943407,83528.0
13776.0,4.0,10.0,100.0,0.991,,0.3789402164072404,78576.0
13776.0,8.0,10.0,100.0,0.992,,0.1926955356530454,72969.0
13776.0,64.0,10.0,100.0,0.992,,0.1075682897141816,66418.0
13776.0,256.0,10.0,100.0,0.992,,0.022851453020941,69671.0
13776.0,512.0,10.0,100.0,0.992,,0.0192543157170174,69463.0
13776.0,1024.0,10.0,100.0,0.992,,0.0101380427460597,69953.0
13776.0,2048.0,10.0,100.0,0.992,,0.0118272828436605,69983.0
13776.0,4096.0,10.0,100.0,0.992,,0.0041900470846368,69952.0
26124.0,1.0,10.0,100.0,0.981,,1.09724666543057,84658.0
26124.0,4.0,10.0,100.0,0.992,,0.3319057582540284,78214.0
26124.0,8.0,10.0,100.0,0.992,,0.1337650887190218,73395.0
26124.0,64.0,10.0,100.0,0.993,,0.1241343132487938,63793.0
26124.0,256.0,10.0,100.0,0.993,,0.0263343699157682,68110.0
26124.0,512.0,10.0,100.0,0.993,,0.0183152339358493,67452.0
26124.0,1024.0,10.0,100.0,0.993,,0.0117336636512339,67958.0
26124.0,2048.0,10.0,100.0,0.993,,0.0148716489997338,68557.0
26124.0,4096.0,10.0,100.0,0.993,,0.0115173624059115,67574.0
